DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2014/10/28 0:00,,73173.1849,71120.21945,51435.93281,51652.65458,54517.16458,54748.33081,52935.51582,53939.08581,54873.1188,54346.46661
2014/10/27 0:00,,73173.1849,71120.21945,51801.1127,52018.47111,54639.97995,54871.07382,48377.07856,47458.26226,50026.7547,50745.31091
2014/10/24 0:00,,73173.1849,71120.21945,51765.12027,51982.77091,54688.39774,54919.71501,48582.23665,48740.1486,46366.74433,47704.46255
2014/10/23 0:00,,73173.1849,71120.21945,52032.74463,52250.61272,54757.96513,54989.50387,51506.36346,49611.41567,52016.05126,52329.22144
2014/10/22 0:00,,73173.1849,71120.21945,52559.78779,52778.76682,54873.13469,55104.80132,53929.06637,54434.23884,49087.73683,47734.32666
2014/10/21 0:00,-12686.99885,73173.1849,71120.21945,53419.93449,53641.16573,54863.27181,55095.12496,52828.58722,51788.12059,50448.34081,53865.93915
2014/10/20 0:00,18414.91346,73173.1849,71120.21945,51681.8353,51899.14017,54504.32642,54735.75319,57640.74769,56047.71965,48681.63187,48916.49158
2014/10/17 0:00,65743.93686,76718.26997,74038.02904,51683.4046,51900.4711,52569.78265,52796.62816,51148.74175,48219.776,50666.27591,50440.67752
2014/10/16 0:00,54271.01295,76718.26997,73222.97497,51474.3568,51691.37789,52687.90033,52914.62656,51095.96112,50035.84263,49696.08925,49785.05221
2014/10/15 0:00,70866.9638,76718.26997,73866.25051,51351.83864,51568.67982,52547.93106,52774.65384,57876.3587,56134.3391,46623.78449,46221.41889
2014/10/14 0:00,76718.26997,76718.26997,72217.3664,51423.96532,51640.87026,52400.13485,52626.84047,51020.81429,51964.70108,53680.51447,53477.08386
2014/10/13 0:00,60032.25021,73173.1849,69986.85053,51340.88564,51557.65003,52442.80958,52669.73461,51478.90179,50443.38461,55338.91836,52910.25696
2014/10/10 0:00,23120.05097,73173.1849,69117.88956,51408.15712,51624.99307,52278.11465,52504.99259,52893.49006,52481.90374,58239.51844,54453.58035
2014/10/9 0:00,38096.75366,73173.1849,69117.88956,51277.54196,51494.19118,52301.7548,52528.84362,50787.08307,51061.42959,49696.60157,50412.53084
2014/10/8 0:00,38354.73873,73173.1849,69117.88956,51290.76745,51506.69199,52153.02288,52380.0934,48527.26132,49083.56434,55133.86973,55019.83297
2014/10/7 0:00,7883.956276,73173.1849,69117.88956,50986.90265,51202.50333,52227.13645,52453.64096,54671.9666,55237.90915,50325.85771,48835.10549
2014/10/6 0:00,21988.4355,73173.1849,69117.88956,51018.08356,51233.67812,51964.47186,52190.73833,49899.76318,47607.01114,51935.2624,50671.86744
2014/10/3 0:00,8563.739568,73173.1849,69117.88956,51013.75285,51229.42276,52039.71699,52266.19762,51290.49159,51903.27115,50564.92801,49991.65194
2014/10/2 0:00,-620.2794559,73173.1849,69117.88956,51006.71139,51222.38638,52151.68156,52378.29034,50245.6575,49838.71274,48825.31554,51298.47061
2014/10/1 0:00,-12779.31373,73173.1849,69117.88956,50726.97359,50942.61194,52217.90388,52444.73185,60635.86733,56032.85979,56756.48787,58760.74085
2014/9/30 0:00,21271.80569,73173.1849,69117.88956,50826.0534,51041.73607,51989.26306,52215.92224,47220.02206,47560.05488,49887.02476,51720.13909
2014/9/29 0:00,3565.665276,73173.1849,69117.88956,50874.21568,51089.94897,52071.70573,52298.573,48159.69555,48654.1835,53283.30791,50837.43365
2014/9/26 0:00,8222.291715,73173.1849,69117.88956,50984.5936,51200.13182,52087.34269,52314.41549,49970.10826,49184.01172,50951.77669,49684.04448
2014/9/25 0:00,3825.257964,73173.1849,69117.88956,50534.76707,50749.47984,52208.48867,52435.53408,52268.66085,53024.54851,56013.22839,53875.93786
2014/9/24 0:00,26385.90573,73173.1849,69117.88956,50561.95618,50776.6691,51726.91575,51953.24021,57527.43212,55398.93254,53896.00871,51673.0788
2014/9/23 0:00,11471.17051,73173.1849,69117.88956,50562.28934,50777.00243,51793.34971,52019.89308,50600.08878,51636.59626,53996.53872,51385.31731
2014/9/22 0:00,15993.11443,73173.1849,69117.88956,50522.60038,50737.30227,51820.9179,52047.67426,55568.52849,51202.53524,47985.92435,49592.94475
2014/9/19 0:00,16123.6992,73173.1849,69117.88956,50484.42703,50699.16525,51833.77652,52060.73629,49552.41088,48812.10225,46464.16557,46705.01304
2014/9/18 0:00,27713.22836,73173.1849,69117.88956,50484.2127,50698.95163,51880.94349,52108.12394,50673.59822,49535.85293,47889.90098,47077.74566
2014/9/17 0:00,1564.463042,73173.1849,69117.88956,50458.21015,50673.32599,51979.59172,52206.95345,47407.18919,46310.62885,45258.07927,44602.01887
2014/9/16 0:00,1278.678241,73173.1849,69117.88956,50446.85608,50662.00311,52049.38314,52276.96321,48754.43065,48025.41609,56060.72045,52715.73157
2014/9/15 0:00,-3894.03256,73173.1849,69117.88956,50419.51185,50634.78865,52136.99853,52364.78131,51252.71479,51533.13702,50267.81109,51281.20991
2014/9/12 0:00,-9295.002697,73173.1849,69117.88956,50406.92394,50622.20056,52217.62637,52445.62026,52207.44092,50557.93916,50679.68861,52361.3264
2014/9/11 0:00,-8951.527713,73173.1849,69117.88956,50398.40446,50613.69302,52260.9333,52489.14762,54848.85897,55321.53006,55453.38355,54388.52619
2014/9/10 0:00,-6384.428355,73173.1849,69117.88956,50427.29489,50642.86206,52338.33373,52566.76239,49957.6427,49064.43423,50516.90659,50301.10032
2014/9/9 0:00,-18746.37534,73173.1849,69117.88956,50408.15111,50623.71856,52456.80275,52685.0997,51194.80514,51778.90439,48332.08373,47707.26098
2014/9/8 0:00,-14373.83233,73173.1849,69117.88956,50321.63293,50537.16433,52497.49432,52726.01111,52859.77043,52218.87044,59659.35109,54414.40939
2014/9/5 0:00,-6537.690932,73173.1849,69117.88956,50311.5215,50527.09999,52471.42791,52700.11171,54148.17454,53863.19894,50536.39311,50304.93068
2014/9/4 0:00,-11891.27115,73173.1849,69117.88956,50364.93083,50580.59328,52569.50011,52798.3691,50399.44758,50081.61043,56411.91493,53860.23499
2014/9/3 0:00,-3096.228726,73173.1849,69117.88956,50246.02546,50461.57939,52518.61234,52747.61807,52881.93305,53141.63113,54100.59549,53994.46863
2014/9/2 0:00,18391.19203,73173.1849,69117.88956,50274.43944,50490.00867,52438.55236,52667.65415,50838.31342,50922.09931,50228.02037,51369.40909
2014/8/29 0:00,18051.58203,73173.1849,69117.88956,50339.00452,50554.58888,52483.44452,52712.76784,48834.02893,48059.51758,52458.8151,50534.58132
2014/8/28 0:00,10689.94206,73173.1849,69117.88956,50286.64547,50502.37176,52561.60946,52791.14754,52024.29378,49917.04872,51054.55506,49129.00301
2014/8/27 0:00,15420.47547,73173.1849,69117.88956,50396.6621,50612.49187,52611.79425,52841.55511,52316.05182,52591.49812,56582.06112,57661.94065
2014/8/26 0:00,8600.58171,73173.1849,69117.88956,50449.94712,50665.70698,52669.45989,52899.44395,58271.17609,53962.34902,48321.3897,48051.82844
2014/8/25 0:00,-5647.35187,73173.1849,69117.88956,50624.66756,50840.56098,52779.03143,53009.16699,51200.9255,53630.75252,52253.90841,51441.15161
2014/8/22 0:00,-10327.75609,73173.1849,69117.88956,50586.98086,50802.8903,52873.24372,53103.57465,52798.52509,49839.95404,54165.25871,54827.94558
2014/8/21 0:00,-6938.047104,73173.1849,69117.88956,50583.75027,50799.67315,52912.50559,53143.05713,54931.62647,52801.16551,48648.0245,48919.26736
2014/8/20 0:00,-12286.86253,73173.1849,69117.88956,50541.57199,50757.74792,53014.6882,53245.41784,48259.96133,48096.40854,48545.05455,50917.73433
2014/8/19 0:00,-12623.67613,73173.1849,69117.88956,50579.38175,50795.48216,53076.88243,53307.83539,45854.69249,45891.96995,44608.48192,45548.52107
2014/8/18 0:00,-12850.05099,73173.1849,69117.88956,50648.97887,50864.85611,53188.16748,53419.26701,55865.58295,52141.45664,56799.30403,53904.6169
2014/8/15 0:00,-20299.62026,73173.1849,69117.88956,50626.01394,50841.89928,53311.91793,53543.00404,52368.73073,52380.78947,51133.60872,50945.77832
2014/8/14 0:00,-20982.90262,73173.1849,69117.88956,50600.31158,50816.22873,53360.84121,53592.15088,52456.3117,52006.90214,54946.84426,52583.35014
2014/8/13 0:00,-16652.03729,73173.1849,69117.88956,50650.32617,50866.17927,53424.90107,53656.43407,51241.69103,51669.08015,61871.65155,58502.38045
2014/8/12 0:00,-22044.85438,73173.1849,69117.88956,50649.92833,50865.78144,53533.5921,53765.28422,51612.76917,49434.72737,56483.46326,55565.81727
2014/8/11 0:00,-15283.80805,73173.1849,69117.88956,50659.7287,50875.53435,53587.12055,53819.03712,50151.47193,46562.2981,46587.44756,46165.72463
2014/8/8 0:00,-10816.44999,73173.1849,69117.88956,50679.47448,50895.09565,53700.94582,53932.99929,54413.32939,52695.20676,59572.49713,56465.00786
2014/8/7 0:00,-22270.8079,73173.1849,69117.88956,50587.74205,50803.9716,53825.18328,54057.24436,55272.19223,50415.79035,54705.03512,53663.92111
2014/8/6 0:00,-14806.98063,73173.1849,69117.88956,50611.70861,50827.94603,53777.64959,54009.85452,50100.05727,50109.51686,57090.27054,55993.18528
2014/8/5 0:00,-8725.692391,73173.1849,69117.88956,50489.28981,50705.34188,53832.53603,54064.9658,49478.03519,48309.42816,55046.96891,54562.69686
2014/8/4 0:00,2311.681482,73173.1849,69117.88956,50476.73783,50692.8015,53684.87678,53917.29815,51582.67952,51719.00766,50730.11826,49672.52083
2014/8/1 0:00,7953.080249,73173.1849,69117.88956,50318.48353,50534.4637,53754.26809,53986.91195,51113.81407,49369.92376,54030.068,54001.96916
2014/7/31 0:00,26986.48587,73173.1849,69117.88956,50019.20341,50235.1463,53664.70169,53897.43138,48429.78559,48602.08448,51619.98692,54832.47579
2014/7/30 0:00,34991.20967,73173.1849,69117.88956,49943.70995,50159.91243,53419.06232,53651.60233,54324.7765,53530.86593,55236.42947,55122.77108
2014/7/29 0:00,37217.87735,73173.1849,69117.88956,49935.83884,50152.03137,53441.44493,53674.1985,47991.19065,50027.20842,48993.40121,47043.66571
2014/7/28 0:00,32075.86642,73173.1849,69117.88956,50015.57631,50231.63893,53406.11189,53639.02495,46431.72058,51067.27932,48683.54103,52091.58716
2014/7/25 0:00,24513.6601,73173.1849,69117.88956,50085.60412,50301.7363,53527.84783,53760.83965,56970.91107,53352.83495,52109.89229,51464.15767
2014/7/24 0:00,17496.03296,73173.1849,69117.88956,50383.85913,50600.29561,53564.06923,53797.2821,53382.8801,51109.77984,45802.72223,45716.26255
2014/7/23 0:00,-3687.593196,73173.1849,69117.88956,50607.964,50826.21149,53676.17292,53909.53518,51197.54134,52652.02317,57431.55122,53719.97038
2014/7/22 0:00,-10386.18316,73173.1849,69117.88956,50638.26796,50856.77866,53773.92878,54007.48421,43024.07853,40991.42316,46341.90914,43966.48401
2014/7/21 0:00,-32031.3391,73173.1849,69117.88956,50591.67423,50810.12472,53890.69512,54124.0419,48226.70092,48806.9082,57811.40624,59015.33209
2014/7/18 0:00,-15253.31563,73173.1849,69117.88956,50670.09382,50888.55011,53826.06083,54059.52999,49921.03015,51528.83234,46448.50409,46225.91397
2014/7/17 0:00,-20355.1445,73173.1849,69117.88956,50594.87826,50813.71019,53918.54568,54152.21752,55180.47416,50428.56832,52060.10176,53878.82069
